"Consent Type","Consent Type"
"Default Status","Default Status"
"Cookie Group","Cookie Group"
Denied,Denied
Granted,Granted
"Please Select..","Please Select.."
"Consent Types","Consent Types"
"More information on how Microsoft Advertising handles consent signals received through UET for consent mode can be found <a href=""https://help.ads.microsoft.com/#apex/ads/en/60119/1:~:text=granted-,Expected%20behavior,-Before%20user%20consent"" target=""_blank"">here</a>.","More information on how Microsoft Advertising handles consent signals received through UET for consent mode can be found <a href=""https://help.ads.microsoft.com/#apex/ads/en/60119/1:~:text=granted-,Expected%20behavior,-Before%20user%20consent"" target=""_blank"">here</a>."
