"Consent Type","Consent Type"
"Default Status","Default Status"
"Cookie Group","Cookie Group"
Denied,Denied
Granted,Granted
"Please Select..","Please Select.."
"Consent Types","Consent Types"
"More information about Tag Manager consent types can be found <a href=""https://support.google.com/tagmanager/answer/10718549"" target=""_blank"">here</a>.","More information about Tag Manager consent types can be found <a href=""https://support.google.com/tagmanager/answer/10718549"" target=""_blank"">here</a>."
